No. ,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU,Fee,Year_Created,Population,geo_Accuracy Score,geo_Zipcode
1719,Bellevue,WI ,Bellevue WI ,44.4619656,-88.023478,ERU,3221,4,2002,14742,0.5,
1734,Durand,WI,Durand WI,44.6274281,-91.9985804,ERU,3300,4,2010,1968,1,54736
1810,Saint Francis,WI,Saint Francis WI,42.9727225,-87.9062513,ERU,2500,4,2001,9365,1,53235
1816,Slinger,WI,Slinger WI,43.3318804,-88.343777,ERU,4300,3.98,2007,5068,1,53086
1368,Maryville,TN,Maryville TN,35.743162,-84.144293,ERU,2400,3.97,2003,27646,1,37801
576,Jasper,IN,Jasper IN,38.399047,-87.0126351,ERU,5000,3.96,2003,12100,1,47546
1575,Waynesboro,VA,Waynesboro VA,38.0652769,-78.9733267,ERU,1600,3.96,2015,21263,1,22980
318,Brunswick,GA,Brunswick GA,31.153505,-81.5355297,ERU,2200,3.95,2018,16287,1,31520
361,Milledgeville,GA,Milledgeville GA,33.0928194,-83.3215896,ERU,3400,3.95,2019,18933,1,31061
363,Peachtree City,GA,Peachtree City GA,33.3879628,-84.6395711,ERU,4600,3.95,,31580,1,30269
374,Statesboro,GA,Statesboro GA,32.4369515,-81.8047819,ERU,3200,3.95,2015,30,1,30458
1119,North Ridgeville,OH,North Ridgeville OH,41.385198,-82.0895051,ERU,3820,3.88,2018,33436,1,
1216,Molalla,OR,Molalla OR,45.149243,-122.6204884,ERU,2640,3.87,1999,9218,1,97038
792,Faribault,MN,Faribault MN,44.3035612,-93.3494748,ERU,3500,3.8,2001,23450,1,55021
1370,Millington,TN,Millington TN,35.3333848,-89.9625592,ERU,3000,3.8,2006,10257,1,38053
367,Powder Springs,GA,Powder Springs GA,33.8650691,-84.7533786,ERU,2840,3.79,2012,13940,1,30127
1422,Gainesville,TX,Gainesville TX,33.6463687,-97.2155458,ERU,1895,3.79,1993,16569,1,76240
322,Cartersville,GA,Cartersville GA,34.1879876,-84.8621883,ERU,3000,3.75,,15925,1,30120
327,Clayton County,GA,Clayton County GA,33.5005916,-84.4914756,ERU,2950,3.75,2006,236517,1,
1609,Douglas County,WA,Douglas County WA,47.6850978,-120.1948486,ERU,2750,3.75,1998,38971,1,
1612,East Wenatchee,WA,East Wenatchee WA,47.4183572,-120.3174997,ERU,2750,3.75,1999,13375,1,98802
1778,Middleton,WI,Middleton WI,43.113742,-89.5824945,ERU,2880,3.75,,19660,1,53562
1812,Scott,WI ,Scott WI ,45.942098,-92.164759,ERU,4250,3.75,,3712,0.5,
638,Hays,KS,Hays KS,38.8809775,-99.3881276,ERU,3369,3.62,2011,20013,1,
1817,Somers,WI,Somers WI,42.640327,-87.9278659,ERU,5000,3.58,2018,9597,1,53171
1711,Antigo,WI,Antigo WI,45.1383181,-89.1936042,ERU,3069,3.52,2010,8004,1,54409
185,Hillsborough County,FL,Hillsborough County FL,27.8722885,-82.7190251,ERU,,3.5,1989,1267775,1,
319,Byron,GA,Byron GA,32.6452621,-83.7888419,ERU,3850,3.5,2017,5188,1,31008
379,Valdosta,GA,Valdosta GA,30.8456432,-83.3532617,ERU,3704,3.5,2006,43724,1,31601
577,Jeffersonville,IN,Jeffersonville IN,38.3350273,-85.7659425,ERU,2500,3.5,,27362,1,47130
1046,Ashland,OH,Ashland OH,40.867284,-82.3791286,ERU,3052,3.5,2006,20367,1,
1093,Lake County,OH,Lake County OH,41.6851117,-81.3581174,ERU,3050,3.5,2003,229885,0.8,
1095,Lebanon,OH,Lebanon OH,39.4165966,-84.2851662,ERU,2615,3.5,2004,20242,1,
1337,Spartanburg,SC,Spartanburg SC,34.9421015,-81.9924612,ERU,2000,3.5,2010,37334,1,29301
1363,Kingsport,TN,Kingsport TN,36.5066563,-82.6678364,ERU,3794,3.5,2011,49232,1,37660
1364,La Vergne,TN,La Vergne TN,36.1871121,-86.4893224,ERU,3181,3.5,2005,33389,1,37086
1378,Spring Hill,TN,Spring Hill TN,35.7427291,-86.9936722,ERU,3412,3.5,2009,29735,1,37174
1720,Beloit,WI,Beloit WI,42.5322902,-89.0830446,ERU,3347,3.5,2006,36913,1,53511
1377,Smyrna,TN,Smyrna TN,35.9721389,-86.5779183,ERU,3543,3.47,2008,25569,1,37167
597,North Manchester,IN,North Manchester IN,41.0062197,-85.8091998,ERU,2650,3.45,1994,5932,1,46962
999,Mooresville,NC,Mooresville NC,35.5831373,-80.9074002,ERU,2700,3.4,2014,34887,1,
1758,Jefferson,WI,Jefferson WI,43.0061269,-88.8407148,ERU,3220,3.33,,7997,1,
360,McDonough,GA,McDonough GA,33.4426498,-84.2192142,ERU,3000,3.3,,8493,1,30252
1376,Signal Mountain,TN,Signal Mountain TN,35.1438666,-85.3838079,ERU,3960,3.3,2002,7655,1,37377
987,Kernersville,NC,Kernersville NC,36.0944397,-80.1594218,ERU,2980,3.29,2006,23123,1,27284
432,Grinnell ,IA,Grinnell  IA,41.7294783,-92.7605301,ERU,3250,3.26,,9218,1,50112
560,Floyd County,IN,Floyd County IN,38.2993667,-86.0369381,ERU,3700,3.25,2007,70823,1,
1372,Murfreesboro,TN,Murfreesboro TN,35.8618207,-86.4904887,ERU,3470,3.25,2007,100575,1,37127
1806,Rhinelander,WI,Rhinelander WI,45.6357096,-89.5059265,ERU,3305,3.25,2012,7756,1,54501
1738,Fitchburg (rural),WI,Fitchburg WI,42.9880891,-89.4960461,ERU,3700,3.24,2002,4000,0.8,54981
1365,Lakeland,TN,Lakeland TN,35.261166,-89.7987387,ERU,,3.2,,12617,0.8,38002
373,Snellville,GA,Snellville GA,33.8554236,-84.0673886,ERU,3800,3.1,2008,19983,1,30039
964,Dallas,NC,Dallas NC,35.3157703,-81.1913421,ERU,2500,3.1,,3402,1,28034
328,College Park,GA,College Park GA,33.6367539,-84.4993769,ERU,3523,3,2007,20382,0.8,30337
332,Covington,GA,Covington GA,33.6035642,-83.9207417,ERU,2600,3,2005,13226,1,30014
339,Duluth,GA,Duluth GA,34.0001201,-84.2085052,ERU,2654,3,2011,22122,1,30095
467,Pleasant Hill,IA,Pleasant Hill IA,41.5834924,-93.5219058,ERU,3500,3,,9082,1,50327
468,Polk City,IA,Polk City IA,41.7746056,-93.7474147,ERU,3976,3,2020,4625,1,50226
615,Vincennes,IN,Vincennes IN,38.6855336,-87.5789915,ERU,2800,3,,18701,1,47591
634,El Dorado,KS,El Dorado KS,37.8098842,-96.9292656,ERU,2314,3,2008,12057,1,67042
934,Arnold,MO,Arnold MO,38.4213617,-90.4476948,ERU,1750,3,2005,21013,1,63010
1058,Canal Winchester,OH,Canal Winchester OH,39.8436372,-82.8773292,ERU,3001,3,2010,7191,1,
1489,Taylor,TX,Taylor TX,30.5796459,-97.4723063,ERU,2500,3,2010,16106,1,76574
1700,Walla Walla County,WA,Walla Walla County WA,46.3034657,-118.7965326,ERU,5000,3,2010,59844,1,
1742,Franklin,WI,Franklin WI,42.8869734,-88.0796551,ERU,2964,3,,35620,1,
1777,Menomonie,WI,Menomonie WI,44.8889347,-91.9774566,ERU,3000,3,2008,14937,1,54751
1813,Sheboygan,WI,Sheboygan WI,43.7444861,-87.7654978,ERU,2215,3,2001,50792,1,53081
1562,Manassas Park,VA,Manassas Park VA,38.7709257,-77.4846449,ERU,2500,2.97,2010,6734,0.7,20113
618,Warsaw,IN,Warsaw IN,41.2475568,-85.9068235,ERU,3550,2.95,,,1,46580
1080,Greenville,OH,Greenville OH,40.1067478,-84.6497069,ERU,2800,2.95,2007,13189,1,
1788,New Richmond,WI,New Richmond WI,45.1235382,-92.5906506,ERU,12632,2.94,2004,8375,1,54017
591,Monroe County,IN,Monroe County IN,39.1734162,-86.641627,ERU,5200,2.93,2011,137974,1,
375,Stockbridge,GA,Stockbridge GA,33.5258436,-84.2609774,ERU,2000,2.92,2004,9853,1,30281
390,Atlantic ,IA,Atlantic  IA,41.3979672,-95.088768,ERU,2000,2.85,,6937,1,50022
1739,Fort Atkinson,WI,Fort Atkinson WI,42.9289359,-88.8767828,ERU,3096,2.82,2009,12407,1,53538
14,Surprise,AZ,Surprise AZ,33.6693746,-112.5250217,ERU,3420,2.75,2016,117517,1,85374
1126,Painesville,OH,Painesville OH,41.7267953,-81.3232275,ERU,2500,2.75,2002,19549,1,
976,Greensboro,NC,Greensboro NC,36.1003778,-79.9034182,ERU,2543,2.7,1994,269666,1,27401
705,Hagerstown,MD,Hagerstown MD,39.6368232,-77.7577229,ERU,1000,2.67,2020,,1,
321,Canton,GA,Canton GA,32.6627935,-85.4216056,ERU,2000,2.65,,7709,1,30114
25,Contra Costa County,CA,Contra Costa County CA,37.9094414,-122.1279262,ERU,5000,2.5,2012,1041274,1,
392,Avoca ,IA,Avoca  IA,41.4875062,-95.3561,ERU,,2.5,,1506,1,51521
937,Kansas City,MO,Kansas City MO,39.0921167,-94.8559002,ERU,500,2.5,1992,463202,1,64101
988,Kings Mountain,NC,Kings Mountain NC,35.2292857,-81.5214909,ERU,2000,2.5,2014,10791,1,28086
1001,Mount Holly,NC,Mount Holly NC,35.309567,-81.0703633,ERU,,2.5,,13656,1,
1014,Shelby,NC,Shelby NC,35.2849855,-81.6874095,ERU,2600,2.5,2014,20325,1,
1371,Morristown,TN,Morristown TN,36.2024483,-83.4524259,ERU,2400,2.5,2008,29374,1,37813
1578,Saint Albans,VT,Saint Albans VT,44.8099131,-73.102016,ERU,3000,2.5,2018,6795,1,5478
1756,Hudson,WI,Hudson WI,44.965445,-92.8002076,ERU,2890,2.5,2012,12719,1,
372,Smyrna,GA,Smyrna GA,33.8542626,-84.5858107,ERU,3900,2.45,2007,40999,1,30080
1732,Delafield,WI,Delafield WI,43.0730505,-88.4598396,ERU,1000,2.42,2004,7100,1,53018
1790,Oak Creek,WI,Oak Creek WI,42.8863703,-87.9583745,ERU,2964,2.42,,34451,1,53154
1108,Medina,OH,Medina OH,41.1363615,-81.9365961,ERU,2716,2.25,2003,26822,1,
1531,Riverdale,UT,Riverdale UT,41.1776772,-112.0343669,ERU,2600,2.2,2005,7656,0.8,84405
1016,Stallings,NC,Stallings NC,35.1029248,-80.7394847,ERU,2060,2.12,2007,13831,0.8,
1822,Suamico,WI,Suamico WI,44.6194212,-88.177298,ERU,5137,2.08,2008,12588,1,54173
465,Oskaloosa,IA,Oskaloosa IA,41.2900477,-92.703771,ERU,2750,2,2007,10938,1,52577
624,Yorktown,IN,Yorktown IN,40.1910597,-85.5098739,ERU,2500,2,,4785,1,47396
966,Durham,NC,Durham NC,36.0020232,-79.0249944,ERU,4300,2,1997,228330,1,27701
979,High Point,NC,High Point NC,35.9996877,-80.1237524,ERU,2588,2,,104371,1,27260
1006,Oxford,NC,Oxford NC,36.31994,-78.6186984,ERU,2500,2,,8338,1,
1028,Winterville,NC,Winterville NC,35.5220157,-77.4367415,ERU,2000,2,2007,9269,1,
1048,Avon ,OH,Avon  OH,41.4486059,-82.0887552,ERU,4300,2,2018,21193,1,
1379,Springfield,TN,Springfield TN,36.4975905,-86.9494792,ERU,3465,2,,,1,37172
1715,Barron,WI,Barron WI,45.4032409,-91.8801713,ERU,10850,2,2005,3425,1,54812
1764,Lancaster,WI,Lancaster WI,42.8480896,-90.7395678,ERU,2400,2,2008,3868,1,
1792,Onalaska (Town),WI,Onalaska Town WI,43.8928943,-91.2696776,ERU,3709,2,2005,5600,1,54650
18,Arcata,CA,Arcata CA,40.8453997,-124.1232635,ERU,2500,1.96,2001,17231,1,95518
1685,Spokane Valley,WA,Spokane Valley WA,47.6550249,-117.244849,ERU,3160,1.75,,,0.8,
711,Salisbury,MD,Salisbury MD,38.3774171,-75.6600986,ERU,3344,1.67,2014,31507,1,
1477,Sachse,TX,Sachse TX,32.9731775,-96.5757769,ERU,,1.66,2017,20329,0.9,75048
315,Barrow County,GA,Barrow County GA,34.01112,-83.7732887,ERU,3478,1.5,2008,46144,1,
316,Braselton,GA,Braselton GA,34.1124436,-83.8498484,ERU,3478,1.5,,1206,1,30517
1096,Lexington,OH,Lexington OH,40.6809054,-82.571845,ERU,5000,1.5,2004,4784,0.9,
1099,Lorain County (unincorporated areas),OH,Lorain County OH,41.4708655,-82.3927512,ERU,6000,1.5,,,1,
1763,Lake Delton,WI,Lake Delton WI,43.5886215,-89.8532381,ERU,1685,1.5,1993,1982,1,
942,Helena,MT,Helena MT,46.5934545,-112.0857335,ERU,2222,1.48,1988,25780,1,59601
40,Larkspur,CA,Larkspur CA,37.9399687,-122.5621059,ERU,3000,1.25,1995,11926,1,94939
702,Frederick,MD,Frederick MD,39.4405686,-77.454222,ERU,1000,1.25,2013,,1,
1751,Hales Corners,WI,Hales Corners WI,42.940908,-88.0827132,ERU,3952,1.17,2008,7730,1,
1056,Butler County,OH,Butler County OH,39.4418386,-84.7158316,ERU,4000,1.08,2003,369999,1,
963,Cumberland County ,NC,Cumberland County  NC,35.0507871,-78.9439733,ERU,2266,1,1995,302963,1,
1180,Stillwater,OK,Stillwater OK,36.1412106,-97.1526453,ERU,5000,1,1997,46048,1,
1485,Sherman,TX,Sherman TX,33.6196052,-96.7017733,ERU,3400,1,2017,41567,1,75090
1784,Mukwonago,WI,Mukwonago WI,42.8521956,-88.3647024,ERU,3000,0.86,2006,8519,1,53149
5,Mobile,AL,Mobile AL,30.702136,-88.2290181,ERU,,0.83,2009,195111,1,36601
342,Evans,GA,Evans GA,33.5143748,-82.2118202,ERU,100,0.09,,17727,1,30809
175,Golden Beach,FL,Golden Beach FL,25.9659055,-80.1303598,ERU,8000,35,1993,940,0.8,33160
1645,Mercer Island,WA,Mercer Island WA,47.5660731,-122.2686028,ERU,3471,30.64,1995,22036,1,
1707,Yakima,WA,Yakima WA,46.5941145,-120.5831094,ERU,3600,29.5,2007,71845,1,
1662,Pacific,WA,Pacific WA,47.2585409,-122.2855468,ERU,2500,23.82,1999,6737,1,
1546,Alexandria,VA,Alexandria VA,38.8809292,-77.1721958,ERU,2062,23.33,2017,153511,1,22301
1682,Snoqualmie,WA,Snoqualmie WA,47.5273431,-121.9057563,ERU,2600,22.83,1997,1631,1,
526,Winetka,IL,Winetka IL,42.1084126,-87.7758557,ERU,3400,21.83,2014,12370,1,60093
1653,Mukilteo,WA,Mukilteo WA,47.9134947,-122.3497174,ERU,2500,21.2,1988,18019,1,
1687,Steilacoom,WA,Steilacoom WA,47.1724025,-122.6292958,ERU,2500,19.39,1994,6049,1,
1632,Kirkland,WA,Kirkland WA,47.6913469,-122.2406847,ERU,2600,19.34,,45054,1,98033
1673,Sammamish,WA,Sammamish WA,47.6059848,-122.0282373,ERU,,18.75,2012,63773,0.9,
1667,Poulsbo,WA,Poulsbo WA,47.7421493,-122.6788777,ERU,3000,18.08,1999,9200,1,
1664,Port Angeles,WA,Port Angeles WA,48.1684677,-123.5455256,ERU,4000,16.87,2003,19154,1,
722,Birmingham,MI,Birmingham MI,42.5487221,-83.2529758,ERU,4317,16.75,2017,21007,1,
278,Satellite Beach,FL,Satellite Beach FL,28.177749,-80.6382443,ERU,3000,16.67,1997,10109,1,32937
1626,Issaquah,WA,Issaquah WA,47.5433536,-122.1131397,ERU,2000,16.47,1988,31037,1,98027
1690,Sumner,WA,Sumner WA,47.221363,-122.2676733,ERU,2400,16.33,,8504,1,
1655,Normandy Park,WA,Normandy Park WA,47.4308755,-122.3655259,ERU,3100,16,2003,6392,0.8,
250,Palm Coast,FL,Palm Coast FL,29.5330742,-81.2969482,ERU,3432,15.55,2004,76499,1,32135
1647,Milton,WA,Milton WA,47.2511914,-122.3482899,ERU,2800,15.5,,5795,1,
1681,Snohomish,WA,Snohomish WA,47.9273881,-122.1284938,ERU,2500,15.27,2004,9098,1,
1634,La Conner,WA,La Conner WA,48.3938419,-122.5052069,ERU,2100,15.08,2002,785,1,98257
314,Avondale Estates,GA,Avondale Estates GA,33.7687768,-84.2740025,ERU,2900,15,2004,2995,1,30002
249,Palm Bay,FL,Palm Bay FL,27.9868171,-80.7929726,ERU,4602,14.76,2010,103227,1,32905
150,Coral Gables,FL,Coral Gables FL,25.6909205,-80.248463,ERU,2346,14.73,1993,47783,0.9,33146
1712,Appleton,WI,Appleton WI,44.287727,-88.4671085,ERU,2368,14.58,1995,73243,1,54911
144,Clearwater,FL,Clearwater FL,27.9925295,-82.887482,ERU,1830,14.15,1991,107784,1,33755
1665,Port Orchard,WA,Port Orchard WA,47.514527,-122.7308662,ERU,3000,14,2008,11144,1,
230,Naples,FL,Naples FL,26.1449028,-81.8295594,ERU,1934,13.93,1994,19939,1,34101
1386,Austin,TX,Austin TX,30.3079827,-97.8934852,ERU,1763,13.57,2003,820611,1,78701
504,Downer's Grove,IL,Downer's Grove IL,41.7911647,-88.0553293,ERU,3300,13.48,2012,48163,1,60515
682,Fall River,MA,Fall River MA,41.6855104,-71.2447918,ERU,2800,13.33,2008,91938,1,
305,Winter Park,FL,Winter Park FL,28.6939609,-81.3377034,ERU,2324,13.21,,24090,1,32789
1642,Lynnwood,WA,Lynnwood WA,47.827921,-122.3193736,ERU,2900,13.12,1991,33847,1,
1123,Oak Harbor,OH,Oak Harbor OH,41.5129663,-83.160273,ERU,4200,13,2007,2758,1,
1630,Kent,WA,Kent WA,47.3855508,-122.22273,ERU,2500,12.81,1992,120916,1,98031
1450,Live Oak,TX,Live Oak TX,29.5555232,-98.3572951,ERU,3007,12.79,2009,12471,1,
1669,Puyallup,WA,Puyallup WA,47.1831468,-122.356318,ERU,2800,12.75,,37022,1,
1351,Chattanooga,TN,Chattanooga TN,35.180662,-85.0217579,ERU,,12.69,1993,171279,1,37401
420,Des Moines,IA,Des Moines IA,41.5665849,-93.7465983,ERU,2349,12.68,1995,206599,1,50301
1699,Walla Walla,WA,Walla Walla WA,46.0628092,-118.3687452,ERU,5000,12.6,1999,30945,1,
1263,Fox Chapel Borough,PA,Fox Chapel Borough PA,40.5217775,-79.9208425,ERU,8400,12.5,2019,5274,0.8,15238
1646,Mill Creek,WA,Mill Creek WA,47.8597883,-122.196895,ERU,3000,12.5,2001,11525,0.8,
1793,Oshkosh,WI,Oshkosh WI,44.018177,-88.6353206,ERU,2817,12.41,2003,66083,1,54901
1656,North Bend,WA,North Bend WA,47.4959161,-121.8223542,ERU,2920,12.36,2001,4746,1,
1648,Monroe,WA,Monroe WA,47.8600473,-122.0428126,ERU,2500,12.28,1996,17304,1,
294,Treasure Island,FL,Treasure Island FL,27.7648685,-82.7717254,ERU,1513,12.14,1994,7450,0.9,33740
161,Edgewater,FL,Edgewater FL,28.95351,-81.0817619,ERU,2027,12,2004,20761,1,32132
525,Wilmette,IL,Wilmette IL,42.1084126,-87.7758557,ERU,3590,12,2019,27418,1,60091
1797,Pleasant Prairie,WI,Pleasant Prairie WI,42.5328441,-88.0245532,ERU,2000,12,2006,19719,1,53158
86,Erie,CO,Erie CO,40.0509244,-105.0771444,ERU,5300,11.98,2003,19723,1,80516
1643,Marysville,WA,Marysville WA,48.0911152,-122.3380446,ERU,3200,11.95,1999,25315,1,
1657,Oak Harbor,WA,Oak Harbor WA,48.2967605,-122.6980029,ERU,3300,11.95,1997,22075,1,
132,Belleair,FL,Belleair FL,27.9234114,-82.8528986,ERU,5459,11.92,2012,,0.5,
1312,Columbia,SC,Columbia SC,34.0377603,-81.2177479,ERU,2454,11.8,2002,130591,1,29201
1228,Saint Helens,OR,Saint Helens OR,45.8571588,-122.8557659,ERU,2500,11.71,2003,12905,1,97051
169,Fort Myers,FL,Fort Myers FL,26.6185654,-81.9723816,ERU,500,11.52,2009,63512,1,33901
159,Dunedin,FL,Dunedin FL,28.0457868,-82.8642393,ERU,1708,11.49,2007,35354,1,34698
1652,Mountlake Terrace,WA,Mountlake Terrace WA,47.9134947,-122.3497174,ERU,2282,11.45,1999,20362,1,
1305,Beaufort,SC,Beaufort SC,32.4460749,-80.7957308,ERU,4906,11.25,,12534,1,29901
1218,Newberg,OR,Newberg OR,45.3064577,-122.9925732,ERU,2877,11.23,2003,18064,1,97132
275,Saint Petersburg,FL,Saint Petersburg FL,27.7786988,-82.7949041,ERU,2719,11,1989,248232,1,33701
1677,Sedro-Woolley,WA,Sedro-Woolley WA,48.5091395,-122.2801919,ERU,10000,10.8,2007,10540,1,
285,Surfside,FL,Surfside FL,25.8794729,-80.1265691,ERU,1040,10.7,1998,4909,0.9,33154
1276,Lower Paxton Township,PA,Lower Paxton Township PA,40.2167214,-76.8312911,ERU,3400,10.67,2019,49050,1,17872
288,Tamarac,FL,Tamarac FL,26.204648,-80.3006404,ERU,1830,10.65,1993,55588,0.8,33309
1696,Tumwater,WA,Tumwater WA,46.9871149,-122.922268,ERU,3250,10.63,1987,12698,0.9,
669,Louisville/Jefferson Co.,KY,Louisville/Jefferson Co. KY,38.1889916,-85.8168536,ERU,2500,10.58,1987,30089,1,
297,Volusia County,FL,Volusia County FL,29.0228714,-81.4523533,ERU,2775,10.5,1992,443343,1,
77,Aurora,CO,Aurora CO,39.6890151,-104.8269165,ERU,2500,10.46,2002,345803,1,80010
270,Safety Harbor,FL,Safety Harbor FL,28.0136725,-82.7288059,ERU,1865,10.3,,16884,1,34695
